"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"JMJD7",17.7366,18.0408,19.5552,19.3772,17.8083,27.971,16.4772,13.4645,20.1974,19.1496,12.0588,14.765,19.2076,NA,29.3291,23.3934,10.0411,13.822,19.0457,10.7542,19.5441,21.1472,17.6388,20.0662,13.1794,11.3705,14.8286,16.568,12.2502,9.26245,18.4163,16.8239,10.7048,16.344,15.3591,12.6204,15.3242,14.9359,19.0898,23.7558,23.3976,21.6406,24.6113,12.2766,23.4163,22.315,21.1569,22.7331,19.5105,20.3327,20.2581,14.5919,16.5055,22.1323,9.55244,23.0883,20.551,18.9778,16.9832,24.3592,16.5722,18.4985,19.6101,16.7714,26.6374,13.678,16.6299,8.4542,4.34148,25.4665,19.702,27.3067,17.7378,11.1194,17.8538,14.7883,12.7749,25.8357,25.3311,21.4988,29.7574,18.8796,13.812,14.0925,10.1155,21.6199,15.4281,19.1479,12.9481,12.4949,13.0679,17.0096,18.9532,19.3894,22.4836,16.0492,9.17778,NA,23.1822,14.4463,28.1291,22.925,NA,21.9272,19.0726,15.8646,NA,9.16428,21.7075,13.3482,24.4867,24.1134
"GSTT2;GSTT2B",NA,29.6469,NA,24.9727,161.962,191.047,NA,NA,56.9314,77.2008,67.8344,124.44,143.485,57.0445,150.593,135.409,NA,23.9772,31.8622,25.7483,NA,NA,15.79,NA,26.1858,40.2278,79.539,67.9439,91.8705,83.3352,73.8493,79.325,65.5033,69.2022,114.378,110.655,106.082,107.54,110.323,149.631,147.884,162.524,75.2423,72.4385,128.865,127.191,NA,NA,47.0228,63.2176,29.8084,39.7596,68.4677,59.0956,58.9535,56.4292,63.2904,63.1751,36.1469,55.0747,149.72,156.344,24.6238,24.4402,NA,NA,85.9005,87.406,147.457,86.2124,28.6678,29.5671,28.6668,NA,NA,20.9978,NA,26.5785,NA,NA,24.3833,34.5501,108.5,67.1897,70.8981,57.5093,103.582,123.971,62.4839,123.478,187.14,158.174,132.474,125.539,33.7316,NA,153.216,121.009,NA,NA,32.0233,35.3029,30.841,NA,142.738,135.618,82.2655,78.343,115.568,46.1168,106.4,131.116
"POTEI",134.451,135.853,97.9375,122.411,212.195,168.794,232.525,212.009,189.067,199.955,119.823,173.925,210.646,307.715,145.87,158.926,218.353,207.044,161.427,141.058,182.634,144.673,191.842,216.644,129.617,139.867,163.102,186.591,171.592,163.535,201.866,108.411,188.482,159.029,176.192,200.816,153.043,145.763,139.029,149.965,147.964,158.138,168.381,166.654,155.675,150.548,87.9799,103.173,188.511,211.784,204.421,177.313,154.478,163.095,189.438,209.72,162.036,155.761,194.563,222.454,203.238,58.4004,148.438,165.833,205.102,183.644,188.237,186.039,202.936,236.897,216.78,222.426,210.885,170.162,144.36,160.112,249.901,143.063,207.003,179.893,156.202,125.679,213.764,162.127,115.564,153.556,171.823,177.106,183.818,148.148,193.254,142.283,179.181,204.726,177.727,158.257,158.458,154.156,143.23,160.517,186.334,183.174,194.575,129.73,140.654,117.856,216.785,133.081,176.828,218.654,196.433,178.07
"RPS27A;UBA52;UBB;UBC",66.7748,105.898,102.785,198.317,125.322,173.574,247.927,224.66,252.887,256.859,53.0878,286.515,305.267,152.009,282.028,127.514,131.026,132.286,119.804,97.4869,94.572,154.268,82.561,144.939,145.023,146.203,94.7883,124.663,132.138,270.025,128.7,92.8223,90.4949,121.519,142.398,163.182,62.9681,96.0052,249.93,214.076,160.039,142.525,170.051,140.431,136.213,315.896,194.03,236.545,117.119,174.655,158.822,100.789,104.12,112.605,87.514,156.685,82.5261,167.426,227.529,240.866,209.184,202.856,276.403,169.55,469.724,303.933,242.275,135.627,391.863,111.044,80.7757,148.863,264.435,154.058,254.524,118.182,331.57,171.588,340.382,84.0749,107.032,139.237,130.013,145.02,128.486,75.0537,295.151,229.318,115.466,120.035,111.527,127.634,256.478,127.913,138.454,132.123,195.212,72.9984,186.196,207.153,245.478,152.962,148.951,159.703,105.481,101.455,141.039,176.081,498.163,159.811,128.837,225.659
"SAA1",89.942,228.032,48.6223,49.0414,43.2892,33.5783,101.844,111.303,97.2167,95.8992,44.5031,54.949,47.6483,NA,238.489,231.859,77.0662,56.3328,67.5901,112.354,133.119,99.6683,42.4368,NA,103.504,160.43,NA,47.0429,NA,NA,106.777,160.528,76.0023,86.0249,56.3644,41.5592,134.401,83.7746,NA,64.8764,176.454,123.696,35.6457,45.762,117.88,137.122,107.262,136.428,NA,NA,154.891,279.097,NA,48.9779,90.084,160.475,58.2809,52.3504,124.878,235.165,NA,58.4129,NA,NA,NA,NA,41.778,38.0864,40.1253,59.6857,58.6277,62.5391,53.3902,48.8621,49.9524,55.6415,54.7207,77.9613,NA,NA,314.437,146.156,85.9836,256.607,NA,NA,79.8463,NA,42.1882,36.1073,NA,44.4685,43.4252,99.3463,45.7976,65.1029,NA,NA,NA,NA,182.495,164.947,NA,NA,NA,26.3544,101.659,212.209,36.4694,123.094,87.5099,107.77
"HSPA1A;HSPA1B",507.791,720.853,984.748,714.792,705.448,666.182,1023.49,927.563,814.921,792.843,1018.93,602.823,587.452,482.121,629.757,687.645,695.467,698.799,879.142,1114.29,772.72,790.81,496.901,638.913,697.039,809.679,701.314,793.11,690.644,726.29,866.709,784.134,690.425,957.192,826.575,985.824,868.368,880.178,1036.65,1045.04,613.395,635.125,670.578,814.814,679.919,552.977,872.863,822.55,788.379,701.454,880.065,804.88,652.316,631.956,560.783,833.274,845.401,901.256,1196.2,1387.1,958.971,854.12,1092.98,829.969,1307.71,1475.08,978.011,1027.52,920.878,754.607,771.468,1059.44,685.263,762.634,740.107,709.578,772.537,692.066,979.572,1009.61,950.425,907.825,582.963,799.081,866.989,618.058,880.634,827.542,790.141,832.81,566.922,615.48,818.382,913.4,723.182,885.635,744.712,782.706,865.855,687.439,654.399,683.078,1135.46,1068.42,512.051,773.074,901.873,764.598,1041.68,667.726,556.974,729.176
"IGLC2;IGLC3",50.3489,125.106,66.6993,54.0943,53.9291,98.2709,127.295,117.045,96.2882,114.062,52.159,65.7123,68.0531,34.4773,97.2942,85.956,51.7228,46.4443,41.9583,47.5203,54.7509,33.3851,137.666,149.016,138.96,162.517,99.4403,87.7842,83.4035,75.9138,75.3876,133.403,62.0125,89.4218,61.839,68.4712,148.512,86.9543,68.1245,168.324,252.376,170.206,87.7355,73.3465,113.961,104.794,47.4076,41.1385,44.6808,45.3289,78.3747,105.727,52.3333,136.203,61.1547,126.87,117.367,124.086,307.296,380.449,86.2655,93.5497,54.8523,43.9207,129.486,152.825,178.065,167.48,56.1681,37.9434,62.6157,130.343,65.5089,60.6831,89.9325,71.0067,115.7,141.863,78.4299,74.8194,252.263,67.6821,65.5173,185.541,54.4046,61.4913,131.645,147.599,104.327,67.4209,97.0886,93.5225,163.14,269.068,79.8953,60.6617,43.4818,36.2839,108.229,78.1074,52.9014,45.9517,58.8432,57.2574,44.0174,141.84,68.7666,104.096,91.8495,153.891,57.4798,69.6474
"CALM1;CALM2;CALM3",4846.22,3774.61,5310.49,3258.34,5753.48,4528.13,7153.89,5652.37,5691.09,5420.9,6461.59,4697.01,5031.19,4918.49,4057.1,3491.82,4306.95,5422.68,4945.3,5546.45,5273.81,5482.21,5287.66,5827.54,4534.51,3803.39,4805.23,3946.43,5020.76,4179.88,5669.1,3649.74,5756.02,5988.95,5580.63,5448.85,3612.6,4724.53,5329.26,4012.22,4015.42,3154.7,5320.38,4606.47,4949.33,4614.91,4836.67,3426.73,7456.18,4783.86,5835.58,3424.25,4193.29,3417.67,4867.54,5870.8,4973.38,4975.55,5728.6,6498.11,5021.02,2241.78,6353.11,4733.93,4269.12,5353.55,4887.3,6533.49,5572.56,4930.17,6739.3,6419.52,5154.9,5490.1,5151.53,3774.8,5157.64,3734.55,6375.02,4984.93,4155.1,4725.44,4387.7,3729.85,5857.35,3692.54,4817.92,4520.47,3166.92,3034.42,4897.85,4333.21,5402.47,4899.61,3591.45,3303.73,4722.28,4307.56,5306.81,3905.61,4902.12,4764.64,5515.78,4892.12,4451.81,4102.83,7273.78,5815.54,4198.5,5576.4,5670.78,5378.75
"LYNX1",50.7327,55.3066,67.6955,107.33,72.6432,97.2005,146.697,180.227,38.7418,91.1311,32.5169,96.5026,82.7712,80.7983,103.665,65.163,53.8291,67.9922,109.206,86.2223,75.2263,158.084,98.2208,105.873,80.6356,134.3,100.995,118.922,98.0474,122.562,85.785,75.9475,59.9229,53.9098,86.4834,97.8655,56.7164,109.442,48.2182,66.2641,82.8813,96.0081,96.9208,69.6086,70.2701,106.674,100.432,142.7,89.2315,61.7099,56.9849,85.7119,82.4734,101.995,55.0086,124.617,59.4292,79.5463,78.7278,53.2811,65.101,127.004,85.889,50.8637,49.8086,NA,77.0322,75.2316,144.688,93.9757,70.0319,110.428,114.445,124.939,60.2421,60.0408,NA,92.8788,53.1839,39.0988,74.8782,127.1,50.0835,66.5147,53.5118,80.8716,85.3687,68.1263,83.8563,85.8058,92.2925,81.8687,53.233,125.103,85.4954,114.69,49.0721,63.4518,84.2407,87.2173,46.6854,77.6504,127.578,55.085,66.5198,101.161,76.2385,71.642,60.3965,73.4265,87.6838,102.843
"VSIG10L2",32.5455,26.6599,31.2054,42.7625,29.9674,30.4638,47.9781,NA,24.9799,31.5023,NA,NA,34.0434,NA,33.4549,27.9037,35.7054,42.9091,31.9058,45.2533,32.0097,29.4476,40.3826,30.1538,32.7947,41.1159,28.4825,28.6113,32.9298,34.3827,42.4796,50.8966,NA,37.3923,30.8501,31.018,37.7637,36.721,34.7758,NA,29.5191,35.855,33.5586,29.6707,32.2171,28.9541,28.3013,32.0124,31.6187,42.2662,38.3059,33.7529,24.0954,30.6169,28.2468,34.8076,42.8059,42.3751,28.1425,53.0693,39.8803,NA,33.4099,32.6176,27.2932,NA,34.4493,36.557,22.1401,42.3068,38.0642,41.9986,27.119,34.8388,36.7824,34.4453,27.1396,50.7136,31.3722,49.6294,NA,35.4242,25.7936,33.559,44.6409,31.8525,41.015,36.9428,38.0799,25.7709,16.2077,30.9053,31.2129,53.9727,30.1967,38.9527,NA,NA,37.6877,NA,37.532,30.0954,36.6319,NA,42.6114,36.8614,33.5611,45.4169,27.9617,25.7681,31.116,46.1978
"GATD3",213.902,301.272,372.142,407.667,304.149,306.29,347.406,430.261,425.534,505.472,433.975,518.246,360.524,524.651,371.662,286.247,399.543,546.386,345.227,412.337,424.346,492.068,301.859,316.229,396.221,465.47,362.676,422.087,377.161,336.644,356.858,265.097,378.29,473.309,466.378,513.546,395.956,380.936,388.996,413.969,301.114,298.937,448.368,555.377,440.761,447.294,359.307,444.843,335.308,517.985,323.121,331.158,224.024,291.162,466.87,495.303,379.495,503.365,377.428,323.149,285.415,361.534,267.678,356.142,314.583,322.614,323.581,368.406,311.797,532.314,435.314,363.692,385.939,387.818,450.611,288.332,406.443,514.07,370.732,313.509,266.984,340.47,337.733,240.01,110.702,114.851,379.422,314.877,269.564,361.486,377.923,460.742,406.681,474.032,278.412,342.203,340.951,319.767,283.885,250.802,313.39,399.388,373.168,416.874,373.486,386.141,452.519,567.948,374.473,528.924,377.794,514.742
"RAP2A",169.999,172.705,119.078,165.122,166.941,210.801,295.278,228.305,159.147,158.928,111.497,183.863,190.887,155.059,232.881,140.621,204.256,157.606,237.295,182.116,217.43,263.088,180.058,230.545,228.292,187.659,222.965,263.02,220.35,176.088,266.467,173.903,212.925,181.151,210.044,262.501,220.607,228.76,171.637,219.569,232.682,183.161,226.595,174.678,155.735,184.979,137.761,167.08,285.139,164.645,192.766,215.918,227.391,173.377,148.341,195.164,173.773,126.614,232.002,128.444,203.082,119.801,206.88,174.059,214.528,139.078,218.892,246.765,334.03,251.663,196.2,185.339,311.091,232.174,159.536,140.501,219.742,167.312,177.738,135.614,147.175,255.569,179.864,211.222,163.901,172.369,213.099,179.212,273.977,139.632,240.777,190.29,128.762,173.9,226.215,210.493,154.155,122.459,162.565,188.597,112.64,141.16,331.275,84.629,160.389,174.364,228.228,146.358,238.59,202.923,194.127,195.599
"RO60",17.7418,25.1485,31.3664,25.4382,23.2362,30.5722,NA,35.8664,29.0256,NA,18.6838,22.8215,24.6457,NA,30.2143,28.1646,32.8895,28.5834,22.1004,23.2814,19.8544,27.1118,23.1591,NA,24.086,22.9132,27.6511,21.231,27.5365,20.3113,21.248,30.2525,22.1221,33.7417,22.5924,27.3691,17.0441,23.1164,30.4027,39.7371,31.6621,33.7512,27.523,30.8967,18.7188,25.87,29.3852,24.6576,28.8081,24.3821,30.2199,29.8364,20.3543,32.1409,17.0626,25.4518,23.3425,21.725,28.9047,43.0414,31.9282,24.815,36.3903,31.634,43.5422,36.31,27.6374,28.7378,11.0928,32.1467,28.4973,46.508,23.6354,NA,NA,21.9323,45.5177,31.125,22.0463,19.6197,37.1011,25.4705,33.1379,28.8882,27.2119,NA,27.9032,16.9719,17.6534,34.5777,35.2207,32.0506,22.6415,27.0715,40.5663,30.4876,32.6466,NA,32.7392,37.6076,33.8167,30.801,24.202,23.4562,36.7677,29.7852,33.1318,15.8874,39.3069,32.7518,17.3617,17.4365
"HLA-C",NA,NA,NA,NA,NA,NA,8.62074,NA,NA,NA,NA,NA,NA,NA,NA,8.97764,NA,NA,NA,NA,NA,NA,NA,NA,17.5429,17.4495,NA,NA,11.4773,NA,NA,NA,10.6255,9.98423,NA,NA,NA,NA,18.9975,39.4144,15.1668,12.7644,NA,NA,14.883,13.3012,NA,NA,NA,NA,NA,NA,13.6745,11.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.531,18.5754,NA,NA,4.67502,NA,15.6441,NA,NA,9.37432,14.6928,NA,NA,NA,NA,NA,NA,9.63574,13.9447,NA,NA,NA,NA,18.5772,22.5686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20468,4.42565
"H1-4",604.857,949.008,1200.17,784.84,1042.89,1172.04,877.938,692.678,1140.05,889.022,865.124,805.948,1568.93,776.84,865.513,724.09,2234.79,923.986,846.656,1004.08,793.659,914.753,1041.4,899.448,756.293,816.057,936.238,863.086,1055.36,1719.4,788.345,1211.04,606.525,1004.16,1235.88,903.173,1053.08,1051.77,1064.3,1511.53,819.828,951.705,844.008,837.197,915.218,1046.02,1118.58,760.511,543.909,370.865,698.418,888.798,594.36,1023.96,711.709,863.848,677.222,713.737,1404.01,1221.38,1036.22,785.597,689.353,645.033,1967.91,1463.74,1419.34,697.12,1072.38,722.549,767.953,1009.81,801.574,878.979,1147.6,974.267,1042.98,980.645,1353.6,1178.49,1680.67,827.747,987.915,1400.77,1230.63,1075.31,1011.72,696.627,793.732,887.194,1035.47,687.611,1365.44,720.955,1100.43,758.95,775.711,737.724,1185.2,592.702,1447.65,826.657,713.402,1011.61,1285.37,1294.45,731.665,997.932,1242.7,608.132,765.721,761.75
"SPP1",NA,NA,NA,NA,NA,NA,NA,14.9501,NA,NA,NA,NA,NA,NA,27.8678,32.0612,NA,NA,NA,NA,9.95452,18.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0012,NA,8.71157,NA,NA,NA,NA,NA,13.1893,NA,NA,NA,NA,NA,NA,NA,6.85952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6768,20.7943,NA,2.61514,NA,NA,NA,9.80268,NA,NA,NA,NA,15.7817,NA,NA,NA,NA,NA,NA,9.02602,NA,NA,10.7731,NA,NA,NA
"DLAT",316.089,308.242,202.391,386.254,289.725,313.092,248.857,239.675,225.507,352.543,186.838,350.983,233.524,278.516,279.562,444.64,232.472,355.972,273.102,221.612,253.444,267.13,226.626,264.955,332.392,259.107,246.263,305.332,323.797,277.535,322.326,291.7,379.852,317.166,174.783,344.479,227.137,230.078,230.399,254.435,316.746,270.793,243.755,363.939,269.78,259.575,235.276,349.913,205.017,403.524,316.189,329.966,307.209,412.315,311.686,273.92,234.721,288.506,188.933,148.573,229.272,226.327,229.123,337.402,260.389,154.454,241.596,309.689,258.917,386.619,305.618,208.639,298.987,246.16,233.645,375.413,260.393,359.436,254.235,169.017,252.243,250.487,329.415,315.251,209.604,303.122,213.84,332.478,258.836,344.425,272.322,349.536,234.477,234.28,197.528,339.464,292.932,230.949,192.542,339.202,226.8,367.264,321.271,249.332,262.137,288.083,246.094,384.165,214.728,296.42,306.089,357.776
"TXN",13.441,25.9333,NA,18.7163,NA,22.9692,93.0471,66.1327,24.7027,8.92966,16.3379,8.18606,NA,NA,18.2005,15.8136,8.43357,14.0241,20.0154,19.9241,9.84346,22.8338,8.00692,39.9123,NA,28.1731,20.0328,17.8345,15.6614,NA,72.2178,15.383,NA,11.0135,20.5534,54.9356,NA,16.4417,43.1775,NA,15.4008,24.4166,10.5632,NA,16.1839,NA,NA,23.8581,53.694,NA,45.4177,23.5254,18.4289,17.7008,11.7047,30.5146,30.774,NA,26.1229,82.1787,22.0266,11.5235,53.5132,37.2197,NA,46.7423,24.5563,41.7209,44.7634,17.4484,13.5155,72.9466,22.8924,22.3301,16.5094,19.9473,NA,20.8348,15.9474,29.568,NA,16.3203,16.2265,9.27451,NA,13.7787,14.5253,22.5146,19.9772,NA,23.1177,22.4232,20.8325,57.649,23.8248,59.5164,12.6487,9.92537,17.3309,25.1843,9.9174,5.18161,60.2725,NA,12.8289,20.5138,41.2552,17.6824,16.0379,29.1571,18.8204,26.0921
"COX5B",1691.93,1799.07,1375.31,2065.31,1464.95,1674.95,1156.77,1866.32,1705.33,2172.83,1697.42,1959.94,1166.73,1699.22,1294.66,2060.22,1556.9,1950.86,1587.06,1920.48,1635.47,1943.67,1317.2,1608.46,1401.19,2302.07,1397.08,2047.53,1662.26,1345.12,1582.38,2196.11,1313.64,1258.99,1795.94,1980.8,2176.35,2326.25,1301.87,1002.85,1437.29,2474.97,1243.36,1917.01,1651.35,1335.88,1454.57,2234.87,1171.94,2241.25,1919.91,2631.7,1164.8,2130.21,1632.89,2597.03,1791.02,1637.49,1180.15,867.358,1527.66,2006.27,1723.79,1952.06,1202.15,1788.69,1310.81,1919.62,1348.93,2679.22,2052.19,2126.35,1446.64,2007.22,1129.69,2455,1240.93,2416.34,920.164,1934.55,1367.36,1831.27,1553.1,1729.05,1332.04,2242.72,1444.27,1665.14,1843.82,2732.01,1398.7,2009.45,1094.46,1956.68,1390.93,2608.82,1355.79,2870.02,1660.71,2287.61,996.486,1751.61,1697.19,1690.62,1517.07,2243.68,1859.8,1886.4,1149.93,2143.27,1359.23,2465.7
"MAPT",555.964,596.746,742.076,522.485,673.856,680.848,896.29,785.535,1232.65,1009.47,974.985,483.737,1006.11,500.051,1309.7,709.512,444.52,489.747,870.045,868.098,748.91,699.739,538.606,614.703,798.782,917.279,741.078,764.685,667.409,485.21,925.661,601.853,710.577,715.227,827.775,917.072,886.544,911.471,1402.64,790.819,711.93,746.077,513.821,230.898,699.996,866.674,650.764,695.972,849.482,307.404,876.75,655.401,820.318,614.075,525.214,653.247,987.127,479.144,1106.71,682.322,935.675,402.339,1165.49,758.3,1759.93,1331.82,782.08,569.733,904.32,614.94,577.595,931.786,787.223,594.505,1206.73,771.035,1339.81,605.05,489.167,687.115,727.444,859.186,925.558,489.625,1216.39,711.593,1084.13,499.818,961.832,638.883,611.669,723.953,1314.03,914.971,1090.88,904.945,1756.63,905.87,1128.56,673.93,996.452,693.154,1133.11,555.785,742.827,815.58,854.318,522.026,1531.34,759.87,718.97,734.82
"PRKAR1A",76.0494,84.6053,98.7513,103.84,96.6854,103.971,90.7698,106.207,91.762,88.1028,66.124,118.44,133.509,91.4423,100.581,104.28,135.174,110.72,97.0967,79.9011,100.621,102.695,109.579,89.565,96.9859,87.3123,101.25,98.3056,97.3468,171.899,82.9832,105.86,85.4354,116.974,98.6133,91.0189,64.8734,96.4895,91.6481,109.379,86.6255,89.18,89.6922,73.5577,97.6681,107.383,114.456,91.5183,77.5096,76.9571,88.2924,90.1568,97.5933,99.3219,83.8535,113.938,75.4948,110.956,118.677,110.33,100.662,89.3473,90.0301,95.2538,169.042,108.744,129.096,106.563,93.8069,113.291,76.3423,85.1198,98.667,100.326,107.142,114.524,95.3335,117.198,100.325,59.8004,112.102,92.8623,109.45,99.4603,98.042,124.137,117.267,109.218,87.6058,115.329,110.033,95.6494,129.227,67.3715,93.2292,97.743,76.8522,74.2199,120.013,117.111,110.166,82.7565,83.7066,108.529,101.603,100.148,79.1974,112.221,107.351,82.4262,100.647,108.326
"CHGA",16.5881,18.4323,12.5972,11.0921,10.6771,14.9806,36.9021,30.6769,31.4948,13.5382,12.1466,NA,19.4281,NA,26.8803,10.0793,NA,15.7581,27.7502,9.79202,NA,23.204,5.75004,30.588,22.7721,27.7824,12.4724,NA,20.4772,NA,32.0003,13.7329,NA,8.81039,21.7356,36.4424,13.5192,11.5224,32.1771,11.5323,11.1606,6.29748,11.7066,21.6831,21.0878,9.1979,NA,12.6779,37.7895,16.037,25.7591,NA,16.8501,4.87739,NA,14.9239,12.2302,7.33112,13.0764,NA,NA,NA,36.294,16.0417,15.0777,41.2443,18.9583,34.4961,18.7679,16.5186,21.4715,37.5815,27.0372,45.8864,5.58587,15.279,22.3451,16.9653,NA,12.6154,11.6127,9.45094,NA,NA,6.72949,7.01906,23.9078,22.9155,14.1114,NA,18.3009,14.9291,19.224,42.952,26.7006,16.1124,18.7064,NA,17.883,19.8515,20.2295,16.4504,29.795,NA,13.0362,30.3578,25.1033,11.6885,33.8708,14.7366,11.2737,11.5944
"UROS",28.8823,25.4073,42.0547,27.3975,22.573,25.5082,19.4413,32.3014,NA,NA,40.9312,28.2937,21.7751,12.7472,18.0668,26.9224,25.4922,19.3411,31.8318,NA,25.7702,23.2686,26.3118,21.4246,20.6011,21.5218,21.4618,27.8759,17.9706,32.9434,18.4095,35.9079,26.1084,22.5952,25.0362,18.6991,20.9353,NA,28.2267,NA,33.4883,23.1929,26.4255,22.0192,19.2704,21.6666,38.8776,28.8618,26.3105,26.1642,38.61,15.9437,25.4136,29.2369,24.5641,26.6788,30.5666,23.1778,21.4843,21.4697,NA,32.9114,25.0273,25.5527,18.9144,NA,13.2018,29.0416,24.9665,22.1945,17.6245,27.9704,NA,NA,26.6717,21.9203,22.8802,NA,36.9683,20.0849,30.8471,30.5444,18.4894,15.8337,29.5589,26.5643,NA,15.0247,25.4699,22.285,25.7136,23.819,15.2317,NA,23.4889,18.9888,28.2041,26.8213,22.7367,35.7636,26.3292,20.6625,37.6922,11.841,30.6434,32.5258,37.0921,38.5454,21.7488,NA,28.8805,29.6868
"ESD",80.915,102.199,151.055,75.9042,87.3584,93.0421,118.693,114.147,144.392,79.2627,150.234,85.3041,117.361,166.389,83.3304,66.969,126.702,87.4737,79.3533,84.8985,44.2813,58.1843,135.364,127.211,88.7673,60.203,78.8599,68.6667,74.0769,98.5477,97.0191,87.2374,72.6518,92.2148,132.464,86.0191,62.9703,79.1629,128.604,133.992,67.2773,49.4922,105.298,138.256,98.9611,97.4341,89.5185,99.0478,81.4415,87.2562,121.77,74.5605,91.976,83.1531,62.8403,65.4277,98.3623,108.208,137.615,178.162,102.494,86.3528,154.165,72.0182,166.245,145.28,110.725,137.173,141.894,97.3467,92.5165,168.862,100.502,92.7297,162.123,79.7464,136.032,94.9111,126.211,98.699,95.345,97.9407,97.0667,97.1112,151.031,52.2593,145.531,98.8817,63.4955,65.4468,64.3769,71.1499,194.193,118.604,119.881,130.13,57.2651,84.0842,121.827,94.1376,130.941,96.1058,113.837,154.438,92.8377,100.183,132.647,117.981,133.887,70.9358,132.703,90.8341
